pad,well,event_type,timestamp,pad_pg_value
P121,131P03,131P03 +4.32 hz,2025-07-29 14:07:00,208.22413635253906
P121,131P07,131P07 +2.12 hz,2025-07-27 19:31:00,-0.07866815477609634
P121,131P07,131P07 +2.22 hz,2025-07-28 05:13:00,151.91885375976562
P121,131P07,131P07 +2.42 hz,2025-07-28 15:13:00,211.19964599609375
P121,131P07,131P07 +2.5 hz,2025-07-29 13:31:00,151.25888061523438
P121,131P07,131P07 +2.22 hz,2025-07-29 15:07:00,5.607701778411865
P121,131P07,131P07 +2.84 hz,2025-07-30 02:49:00,206.2686004638672
P121,131P07,131P07 +2.2 hz,2025-07-30 08:37:00,-0.06722388416528702
P121,131P07,131P07 +2.14 hz,2025-07-30 19:25:00,172.25909423828125
P121,131P07,131P07 +2.04 hz,2025-08-01 02:07:00,-0.24794793128967285
P121,131P07,131P07 +3.3 hz,2025-08-01 23:01:00,138.2453155517578
P121,131P07,131P07 +4.5 hz,2025-08-01 23:19:00,-0.07486984133720398
P121,131P07,131P07 +2.92 hz,2025-08-01 23:31:00,110.51870727539062
P121,131P07,131P07 +2.46 hz,2025-08-03 06:01:00,5.308720111846924
P121,131P07,131P07 +2.04 hz,2025-08-03 10:31:00,180.3387451171875
P121,131P07,131P07 +2.52 hz,2025-08-03 17:25:00,146.386474609375
P121,131P07,131P07 +2.12 hz,2025-08-04 04:43:00,-0.10298721492290497
P121,131P07,131P07 +2.06 hz,2025-08-05 05:01:00,109.32565307617188
P121,131P07,131P07 +2.54 hz,2025-08-05 17:55:00,118.65559387207031
P121,131P07,131P07 +2.54 hz,2025-08-07 10:49:00,132.115478515625
P121,131P07,131P07 +2.14 hz,2025-08-07 22:43:00,108.27421569824219
P121,131P07,131P07 +2.56 hz,2025-08-08 06:13:00,128.74656677246094
P121,131P07,131P07 +2.54 hz,2025-08-09 09:01:00,143.8386993408203
P121,131P07,131P07 +2.12 hz,2025-08-09 13:49:00,5.413148880004883
P121,131P07,131P07 +2.52 hz,2025-08-09 16:25:00,96.11754608154297
P121,131P07,131P07 +2.82 hz,2025-08-09 19:31:00,149.5036163330078
P121,131P08,131P08 +2.12 hz,2025-08-01 04:25:00,-0.2918176054954529
P121,131P08,131P08 +2.86 hz,2025-08-01 05:07:00,104.52335357666016
P121,131P08,131P08 +2.7 hz,2025-08-02 20:31:00,205.92811584472656
P121,105N01,105N01 trip,2025-08-02 07:01:00,146.60105895996094
P121,105N01,105N01 start,2025-08-03 02:07:00,-0.10298721492290497
P121,105N03,105N03 trip,2025-07-28 21:19:00,103.72654724121094
P121,105N03,105N03 start,2025-07-28 21:25:00,-0.07437655329704285
P121,105N03,105N03 trip,2025-07-28 21:31:00,127.77381134033203
P121,105N03,105N03 start,2025-07-28 21:37:00,199.86456298828125
P121,105N03,105N03 trip,2025-07-29 20:55:00,154.20005798339844
P121,105N03,105N03 start,2025-07-29 21:19:00,113.86474609375
P121,105N03,105N03 +2.01 hz,2025-07-29 21:19:00,113.86474609375
P121,105N03,105N03 +2.05 hz,2025-07-29 21:37:00,109.1868896484375
P121,105N03,105N03 trip,2025-07-29 22:01:00,124.8526611328125
P121,105N03,105N03 +5.09 hz,2025-07-29 22:01:00,124.8526611328125
P121,105N03,105N03 start,2025-07-29 23:19:00,0.06867676973342896
P121,105N03,105N03 trip,2025-07-30 03:37:00,116.94610595703125
P121,105N03,105N03 start,2025-07-30 04:07:00,149.27615356445312
P121,105N04,105N04 +3.11 hz,2025-08-06 06:49:00,-0.07437655329704285
P121,105N04,105N04 +3.93 hz,2025-08-06 11:07:00,-0.12873680889606476
P121,105N04,105N04 +3.55 hz,2025-08-07 05:01:00,-0.34760838747024536
P121,105N05,105N05 NFE,2025-07-31 08:13:00,227.0942840576172
P121,105N05,105N05 trip,2025-08-05 04:49:00,125.51786041259766
P121,105N05,105N05 start,2025-08-05 10:13:00,-0.08725135028362274
P121,105N05,105N05 trip,2025-08-05 18:43:00,127.36324310302734
P121,105N05,105N05 start,2025-08-05 22:19:00,116.14213562011719
P121,105N05,105N05 NFE,2025-08-05 18:25:00,-0.07437655329704285
P121,105N15,105N15 NFE,2025-08-01 14:19:00,-0.07437655329704285
P121,105N15,105N15 +3.09 hz,2025-08-01 22:43:00,118.08480834960938
