pad,well,event_type,timestamp,pg_before,pg_after,delta_pg
105,105W07,105W07 NFE,2025-08-16 00:49:00,152.83676147460938,136.67030334472656,-16.166458129882812
105,105W07,105W07 +18.14 hz,2025-08-16 06:25:00,136.67030334472656,126.75955200195312,-9.910751342773438
105,105N05,105N05 NFE,2025-08-16 07:07:00,126.75955200195312,-0.0042804232798516,-126.76383242523298
105,105W07,105W07 trip,2025-08-16 08:49:00,-0.0042804232798516,-0.0700849518179893,-0.06580452853813769
105,105W07,105W07 trip,2025-08-16 08:55:00,-0.0700849518179893,140.30526733398438,140.37535228580236
105,105W07,105W07 start,2025-08-16 09:07:00,140.30526733398438,161.84768676757812,21.54241943359375
105,105W07,105W07 start,2025-08-16 09:13:00,161.84768676757812,136.89202880859375,-24.955657958984375
105,105N01,105N01 NFE,2025-08-16 13:55:00,136.89202880859375,144.4953155517578,7.6032867431640625
105,105N01,105N01 +15.98 hz,2025-08-16 19:49:00,144.4953155517578,144.4981689453125,0.0028533935546875
105,105N01,105N01 trip,2025-08-16 21:31:00,144.4981689453125,164.1508331298828,19.652664184570312
105,105N01,105N01 start,2025-08-17 07:31:00,164.1508331298828,109.67469787597656,-54.47613525390625
105,105N01,105N01 NFE,2025-08-17 12:07:00,109.67469787597656,162.79327392578125,53.11857604980469
105,105W07,105W07 NFE,2025-08-17 13:19:00,162.79327392578125,118.40525817871094,-44.38801574707031
105,105N01,105N01 +14.99 hz,2025-08-17 18:19:00,118.40525817871094,-0.1301673501729965,-118.53542552888393
105,105W07,105W07 +16.13 hz,2025-08-17 18:25:00,-0.1301673501729965,165.0735321044922,165.20369945466518
105,105N01,105N01 +2.07 hz,2025-08-17 21:13:00,165.0735321044922,165.0735321044922,0.0
105,105W07,105W07 trip,2025-08-17 21:13:00,165.0735321044922,140.584228515625,-24.489303588867188
105,105N01,105N01 +2.69 hz,2025-08-17 22:01:00,140.584228515625,135.8906707763672,-4.6935577392578125
105,105N01,105N01 trip,2025-08-18 02:49:00,135.8906707763672,169.00035095214844,33.10968017578125
105,105W07,105W07 start,2025-08-18 07:49:00,169.00035095214844,154.91531372070312,-14.085037231445312
105,105N01,105N01 start,2025-08-18 08:37:00,154.91531372070312,172.61672973632812,17.701416015625
105,105N03,105N03 trip,2025-08-18 10:13:00,172.61672973632812,116.91463470458984,-55.70209503173828
105,105N03,105N03 start,2025-08-18 10:19:00,116.91463470458984,112.57295989990234,-4.3416748046875
105,105N01,105N01 +14.0 hz,2025-08-18 12:49:00,112.57295989990234,,
106,106W8,106W8 NFE,2025-08-11 06:01:00,5.21573543548584,143.984619140625,138.76888370513916
106,106W16,106W16 +2.03 hz,2025-08-11 08:07:00,143.984619140625,113.02357482910156,-30.961044311523438
106,106W16,106W16 +2.04 hz,2025-08-11 08:43:00,113.02357482910156,126.52066040039062,13.497085571289062
106,106W3,106W3 trip,2025-08-11 09:01:00,126.52066040039062,137.01075744628906,10.490097045898438
106,106W4,106W4 start,2025-08-11 09:07:00,137.01075744628906,142.5936279296875,5.5828704833984375
106,106W15,106W15 start,2025-08-11 15:37:00,142.5936279296875,122.87566375732422,-19.71796417236328
106,106W15,106W15 start,2025-08-11 15:43:00,122.87566375732422,106.870849609375,-16.00481414794922
106,106W13,106W13 +2.43 hz,2025-08-11 15:49:00,106.870849609375,110.6116943359375,3.7408447265625
106,106W3,106W3 start,2025-08-11 20:01:00,110.6116943359375,172.68539428710938,62.073699951171875
106,106W13,106W13 +2.26 hz,2025-08-11 21:43:00,172.68539428710938,137.70314025878906,-34.98225402832031
106,106W2,106W2 NFE,2025-08-12 00:07:00,137.70314025878906,143.31655883789062,5.6134185791015625
106,106W16,106W16 +2.14 hz,2025-08-12 00:13:00,143.31655883789062,-0.1044177487492561,-143.42097658663988
106,106W13,106W13 +2.02 hz,2025-08-12 14:55:00,-0.1044177487492561,128.57777404785156,128.68219179660082
106,106W13,106W13 +2.17 hz,2025-08-12 17:37:00,128.57777404785156,117.41246032714844,-11.165313720703125
106,106W2,106W2 trip,2025-08-12 18:37:00,117.41246032714844,143.99893188476562,26.586471557617188
106,106W2,106W2 start,2025-08-12 20:37:00,143.99893188476562,167.93316650390625,23.934234619140625
106,106W13,106W13 +2.26 hz,2025-08-12 21:19:00,167.93316650390625,121.2319793701172,-46.70118713378905
106,106W8,106W8 NFE,2025-08-13 10:31:00,121.2319793701172,171.93150329589844,50.699523925781236
106,106W15,106W15 NFE,2025-08-14 02:37:00,171.93150329589844,127.50344848632812,-44.42805480957031
106,106W15,106W15 +16.09 hz,2025-08-14 08:13:00,127.50344848632812,115.86891174316406,-11.634536743164062
106,106W13,106W13 +2.05 hz,2025-08-14 08:31:00,115.86891174316406,118.54402160644533,2.675109863281264
106,106W15,106W15 trip,2025-08-14 12:55:00,118.54402160644533,115.9661865234375,-2.5778350830078267
106,106W15,106W15 start,2025-08-14 14:37:00,115.9661865234375,0.0543714389204978,-115.911815084517
106,106W15,106W15 trip,2025-08-14 19:31:00,0.0543714389204978,128.9067840576172,128.8524126186967
106,106W13,106W13 +2.05 hz,2025-08-14 23:07:00,128.9067840576172,133.8693084716797,4.9625244140625
106,106W13,106W13 +2.05 hz,2025-08-15 00:19:00,133.8693084716797,-0.1015566810965538,-133.97086515277624
106,106W16,106W16 +2.44 hz,2025-08-15 04:25:00,-0.1015566810965538,0.0643851682543754,0.1659418493509292
106,106W15,106W15 start,2025-08-15 06:49:00,0.0643851682543754,184.4229278564453,184.35854268819094
106,106W15,106W15 +15.16 hz,2025-08-15 08:19:00,184.4229278564453,127.08428955078124,-57.33863830566408
106,106W16,106W16 +2.34 hz,2025-08-15 09:19:00,127.08428955078124,155.00973510742188,27.92544555664064
106,106W15,106W15 NFE,2025-08-15 11:55:00,155.00973510742188,174.2489776611328,19.239242553710938
106,106W8,106W8 NFE,2025-08-15 12:31:00,174.2489776611328,-0.0743765532970428,-174.32335421442986
106,106W15,106W15 trip,2025-08-15 16:07:00,-0.0743765532970428,111.68174743652344,111.75612398982048
106,106W16,106W16 +2.21 hz,2025-08-15 18:49:00,111.68174743652344,-0.0686544179916381,-111.75040185451508
106,106W16,106W16 +2.25 hz,2025-08-16 01:43:00,-0.0686544179916381,141.43397521972656,141.5026296377182
106,106W16,106W16 +2.03 hz,2025-08-16 04:43:00,141.43397521972656,140.30526733398438,-1.1287078857421875
106,106W16,106W16 +2.27 hz,2025-08-16 09:07:00,140.30526733398438,114.94193267822266,-25.36333465576172
106,106W16,106W16 +2.19 hz,2025-08-16 10:25:00,114.94193267822266,116.90033721923828,1.958404541015625
106,106W16,106W16 +2.06 hz,2025-08-16 12:19:00,116.90033721923828,131.27719116210938,14.376853942871094
106,106W16,106W16 +2.05 hz,2025-08-16 14:25:00,131.27719116210938,158.61181640625,27.334625244140625
106,106W16,106W16 +2.05 hz,2025-08-16 17:31:00,158.61181640625,140.2008514404297,-18.410964965820312
106,106W16,106W16 +2.41 hz,2025-08-16 18:07:00,140.2008514404297,162.38414001464844,22.18328857421875
106,106W16,106W16 +2.2 hz,2025-08-16 20:37:00,162.38414001464844,152.6493682861328,-9.734771728515625
106,106W16,106W16 +2.16 hz,2025-08-17 00:37:00,152.6493682861328,-0.1015566810965538,-152.75092496722937
106,106W16,106W16 +2.68 hz,2025-08-17 01:19:00,-0.1015566810965538,109.76482391357422,109.86638059467077
106,106W16,106W16 +2.06 hz,2025-08-17 05:19:00,109.76482391357422,164.1508331298828,54.386009216308594
106,106W15,106W15 start,2025-08-17 07:31:00,164.1508331298828,131.7406768798828,-32.41015625
106,106W13,106W13 +2.04 hz,2025-08-17 09:25:00,131.7406768798828,110.4428939819336,-21.29778289794922
106,106W16,106W16 +2.03 hz,2025-08-17 10:55:00,110.4428939819336,142.24221801757812,31.79932403564453
106,106W16,106W16 +2.25 hz,2025-08-17 11:19:00,142.24221801757812,141.5584259033203,-0.6837921142578125
106,106W16,106W16 +2.14 hz,2025-08-17 14:43:00,141.5584259033203,130.141357421875,-11.417068481445312
106,106W8,106W8 NFE,2025-08-17 15:43:00,130.141357421875,123.40782165527344,-6.7335357666015625
106,106W16,106W16 +2.62 hz,2025-08-17 16:31:00,123.40782165527344,175.97991943359375,52.57209777832031
106,106W16,106W16 +2.11 hz,2025-08-17 21:07:00,175.97991943359375,-0.1029872149229049,-176.08290664851665
106,106W16,106W16 +2.0 hz,2025-08-17 21:31:00,-0.1029872149229049,130.2886962890625,130.3916835039854
106,106W16,106W16 +2.56 hz,2025-08-17 23:13:00,130.2886962890625,159.4000244140625,29.111328125
106,106W16,106W16 +2.02 hz,2025-08-18 00:19:00,159.4000244140625,125.3075714111328,-34.0924530029297
106,106W16,106W16 +2.07 hz,2025-08-18 00:49:00,125.3075714111328,140.79739379882812,15.489822387695327
106,106W16,106W16 +2.53 hz,2025-08-18 03:49:00,140.79739379882812,-0.0700849518179893,-140.86747875064611
106,106W16,106W16 +2.71 hz,2025-08-18 05:31:00,-0.0700849518179893,-0.0743765532970428,-0.004291601479053511
106,106W16,106W16 +2.15 hz,2025-08-18 06:19:00,-0.0743765532970428,154.91531372070312,154.98969027400017
106,106W13,106W13 +2.42 hz,2025-08-18 08:37:00,154.91531372070312,141.52696228027344,-13.388351440429688
106,106W16,106W16 +2.05 hz,2025-08-18 11:01:00,141.52696228027344,108.49737548828124,-33.0295867919922
106,106W16,106W16 +2.07 hz,2025-08-18 14:07:00,108.49737548828124,146.65684509277344,38.1594696044922
106,106W15,106W15 NFE,2025-08-18 20:01:00,146.65684509277344,-0.1029872149229049,-146.75983230769634
106,106W16,106W16 +2.04 hz,2025-08-18 22:07:00,-0.1029872149229049,142.5469207763672,142.6499079912901
106,106W16,106W16 +2.08 hz,2025-08-19 00:55:00,142.5469207763672,113.50997161865234,-29.036949157714844
106,106W16,106W16 +2.37 hz,2025-08-19 03:25:00,113.50997161865234,110.80339813232422,-2.706573486328125
106,106W16,106W16 +2.17 hz,2025-08-19 04:01:00,110.80339813232422,123.4407196044922,12.637321472167983
106,106W16,106W16 +2.26 hz,2025-08-19 04:19:00,123.4407196044922,141.68289184570312,18.242172241210923
106,106W16,106W16 +2.01 hz,2025-08-19 06:01:00,141.68289184570312,113.73599243164062,-27.9468994140625
106,106W16,106W16 +2.32 hz,2025-08-19 07:43:00,113.73599243164062,159.14109802246094,45.40510559082031
106,106W15,106W15 +14.09 hz,2025-08-19 09:07:00,159.14109802246094,127.64220428466795,-31.498893737792983
106,106W16,106W16 +2.43 hz,2025-08-19 09:37:00,127.64220428466795,124.6280746459961,-3.014129638671861
106,106W16,106W16 +2.16 hz,2025-08-19 09:55:00,124.6280746459961,117.22077178955078,-7.4073028564453125
106,106W16,106W16 +2.01 hz,2025-08-19 10:49:00,117.22077178955078,-0.075807087123394,-117.29657887667418
106,106W8,106W8 NFE,2025-08-19 15:25:00,-0.075807087123394,-0.1029872149229049,-0.0271801277995109
